idx,N,opt_cost,sol_cost_est,gap_percent,time_s,time_limit_s,loop_max,max_no_improve,k,top_k,perturb,perturb_interval,error
26,100,8.05396194058715,8.136964750132822,1.0305835830609844,0.13205289840698242,10.0,1000,80,100,5,double_bridge,80,
27,100,7.885150144307851,7.905365668844595,0.2563746303719583,0.26462721824645996,10.0,1000,80,100,5,double_bridge,80,
28,100,7.958602295779249,8.14952245717924,2.3989157179174825,0.17336177825927734,10.0,1000,80,100,5,double_bridge,80,
29,100,8.14897072181612,8.184300050094562,0.4335434435156271,0.21581578254699707,10.0,1000,80,100,5,double_bridge,80,
30,100,7.386804827207458,7.779558596985532,5.316964221546283,0.14055109024047852,10.0,1000,80,100,5,double_bridge,80,
31,100,7.905630981618968,8.126221969062602,2.7903021018375496,0.12885189056396484,10.0,1000,80,100,5,double_bridge,80,
32,100,8.002135138757758,8.009904839259534,0.09709534226862715,0.46602940559387207,10.0,1000,80,100,5,double_bridge,80,
33,100,7.7723132207032135,7.792555395154727,0.26043950979219854,0.3653373718261719,10.0,1000,80,100,5,double_bridge,80,
34,100,7.790163841332145,7.861509457626828,0.9158423076565558,0.12767291069030762,10.0,1000,80,100,5,double_bridge,80,
35,100,7.904173095566785,7.935305097023377,0.39386791104123464,0.17934608459472656,10.0,1000,80,100,5,double_bridge,80,
36,100,7.599118345232359,7.6808218209792285,1.0751704610328927,0.2292802333831787,10.0,1000,80,100,5,double_bridge,80,
37,100,7.288200073712,7.419085154941948,1.7958491795805775,0.18006682395935059,10.0,1000,80,100,5,double_bridge,80,
38,100,7.634956024320582,7.663340373431748,0.3717683379020009,0.44864344596862793,10.0,1000,80,100,5,double_bridge,80,
39,100,7.854444814748222,7.969410129065323,1.4636975245052586,0.16746878623962402,10.0,1000,80,100,5,double_bridge,80,
40,100,7.863401174494667,8.009335820263212,1.8558718108124816,0.1468827724456787,10.0,1000,80,100,5,double_bridge,80,
41,100,7.99815912518568,8.04400802973202,0.5732432154539779,0.2417459487915039,10.0,1000,80,100,5,double_bridge,80,
42,100,7.66230987899644,7.748817316354728,1.1289994626218158,0.2273702621459961,10.0,1000,80,100,5,double_bridge,80,
43,100,7.431415073057343,7.575055391945271,1.9328797742531822,0.20784997940063477,10.0,1000,80,100,5,double_bridge,80,
44,100,7.987959485537303,8.030282797846228,0.5298388453966796,0.24298954010009766,10.0,1000,80,100,5,double_bridge,80,
45,100,7.990962832936504,8.064089683528442,0.9151193932542157,0.2005753517150879,10.0,1000,80,100,5,double_bridge,80,
46,100,8.041342640445011,8.097433051821355,0.6975254492232352,0.1948411464691162,10.0,1000,80,100,5,double_bridge,80,
47,100,7.868888091855036,7.937649525777466,0.8738392657229976,0.28410840034484863,10.0,1000,80,100,5,double_bridge,80,
48,100,7.854435807182125,7.854435807182125,0.0,0.23493599891662598,10.0,1000,80,100,5,double_bridge,80,
49,100,7.808501122617056,7.8961962264340695,1.1230721804343258,0.1407172679901123,10.0,1000,80,100,5,double_bridge,80,
50,100,8.078951327709929,8.193825355350523,1.4218928049063662,0.2501668930053711,10.0,1000,80,100,5,double_bridge,80,
51,100,7.556817961400586,7.556817961400588,2.220446049250313e-14,0.19379734992980957,10.0,1000,80,100,5,double_bridge,80,
52,100,7.80166046970334,7.834165063058812,0.4166368618795824,0.1999669075012207,10.0,1000,80,100,5,double_bridge,80,
53,100,7.6411322171731,7.77107054698625,1.700511470291266,0.30138421058654785,10.0,1000,80,100,5,double_bridge,80,
54,100,7.696177257543447,7.748298367322967,0.6772337491113944,0.19808554649353027,10.0,1000,80,100,5,double_bridge,80,
55,100,7.96505913495729,8.001422557855193,0.45653675988808207,0.3749206066131592,10.0,1000,80,100,5,double_bridge,80,
56,100,7.589033567904092,7.783066066738952,2.5567484594543277,0.15676665306091309,10.0,1000,80,100,5,double_bridge,80,
57,100,7.826702753954723,7.942203273105056,1.4757238492540514,0.1526331901550293,10.0,1000,80,100,5,double_bridge,80,
58,100,7.966003480386063,7.966003480386063,0.0,0.27267909049987793,10.0,1000,80,100,5,double_bridge,80,
59,100,7.582060121118401,7.592030062574101,0.13149383276360727,0.15096688270568848,10.0,1000,80,100,5,double_bridge,80,
60,100,7.814936300008659,8.070459608915312,3.2696787164646413,0.17421698570251465,10.0,1000,80,100,5,double_bridge,80,
61,100,7.72806554719411,7.886099194238018,2.044931504253178,0.13094854354858398,10.0,1000,80,100,5,double_bridge,80,
